,Drift_Rate,SNR,Index,Uncorrected_Frequency,Corrected_Frequency,freq_start,freq_end,Coarse_Channel_Number,Full_number_of_hits,dat_name,fil_0000,fil_0001,normalized_dr,SNR_ratio_0001,0000_x_0001,SNR_ratio,x
0,0.131103,50.907486,312326,7799.999975,7799.999975,7800.00048,7799.999475,31,1780,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node3.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node3.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node3.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.016808075888733794,0.9782860505629211,0.9354047845332996,0.9782860505629211,0.9354047845332996
1,0.063565,96.912025,624646,7799.999987,7799.999987,7800.00024,7799.999737,31,1858,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node3.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node3.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node3.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.008149358723609475,0.9782690207130893,0.9354906785267636,0.9782690207130893,0.9354906785267636
2,-0.254261,26.898687,156152,7800.000064,7800.000064,7800.001072,7799.999063,31,1736,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node3.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node3.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node3.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.032597559622489246,0.978295302388505,0.9351715270016727,0.978295302388505,0.9351715270016727
3,-0.524413,14.536375,78072,7800.000128,7800.000128,7800.002145,7799.998126,31,531,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node3.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node3.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node3.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.06723241740852111,0.9783072106892128,0.9346808370327259,0.9783072106892128,0.9346808370327259
4,3.686786,27.405172,19531,8888.999295,8888.999295,8889.007364,8888.99129,41,124,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.41475789692010884,0.3662875177031721,0.8095385863783618,0.3662875177031721,0.8095385863783618
5,-0.061579,30.330692,1249589,8888.99969,8888.99969,8888.999816,8888.999565,41,18190,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,-0.006927551049012194,0.11420123817585587,0.8146322536903525,0.11420123817585587,0.8146322536903525
6,1.144175,40.640049,39048,8888.999743,8888.999743,8889.003778,8888.995741,41,248,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.1287180238163242,0.36625398457892466,0.8095992626756541,0.36625398457892466,0.8095992626756541
7,0.937588,67.16304,78093,8888.999791,8888.999791,8889.001809,8888.99779,41,616,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.1054773100676731,0.3662784409176921,0.8096117915711631,0.3662784409176921,0.8096117915711631
8,0.166859,204.776932,312342,8888.999911,8888.999911,8889.000416,8888.999411,41,2356,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.018771401978973652,0.36631696024256283,0.8096061006910135,0.36631696024256283,0.8096061006910135
9,0.087402,213.452087,624679,8888.999921,8888.999921,8889.000174,8888.999671,41,4472,/mnt/datac-netStorage-40G/projects/p004/PPO/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.dat,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0000.fil,/mnt/datac-netStorage-40G/projects/p004/2022-11-09-00:47:52/fil_59892_20101_291162841_trappist1_0001/seti-node6.0/fil_59892_20101_291162841_trappist1_0001-beam0001.fil,0.009832601900003065,0.3670985473413596,0.8089219188788264,0.3670985473413596,0.8089219188788264
