,Unnamed: 0,Name,ObjType,RA,DEC,Epoch,plx,pmRA,pmDE,SpType,GaiaEDR3
0,7,WISEA_J085510.74-071442.5,BD,133.780984,-7.243932,2016.7,439.0,-8123.7,673.2,>Y4 ,
1,11,alf_CMa_1,* ,101.287155333,-16.716115861,2000.0,379.21,-546.01,-1223.07,A1  ,
2,12,alf_CMa_2,WD,101.286625521,-16.720932526,2016.0,374.4896,-461.57050553,-914.519620902,DA1.9   ,2.947050466531873e+18
3,13,G_272-61,LM,24.771554293,-17.948299887,2016.0,367.7119,3385.315810465,544.386384562,M5  ,5.14069357115874e+18
5,17,eps_Eri,* ,53.228293415,-9.458168216,2016.0,310.5773,-974.75814525,20.87584009,K2  ,5.164707970261891e+18
6,24,EZ_Aqr,LM,339.650693945,-15.289647052,2016.0,293.6,2314.8,2295.3,M5  ,2.5967404269130803e+18
9,42,tau_Cet,* ,26.009055057,-15.933680201,2016.0,273.8097,-1721.727794472,854.963157059,G8.5,2.452378776434477e+18
10,47,YZ_Cet,LM,18.133254254,-16.996154872,2016.0,269.0573,1205.074450318,637.546633968,M4e ,2.358524597030794e+18
11,67,V2306_Oph,LM,247.574814162,-12.667851081,2016.0,232.139,-94.209594994,-1183.917157588,M3  ,4.330690742322012e+18
12,83,LP_731-58,LM,162.055183999,-11.34280332,2016.0,219.3302,579.018668285,-1530.076483588,M6.5,3.757613049856226e+18
13,89,IL_Aqr,LM,343.324111002,-14.266689394,2016.0,214.038,957.714731289,-673.601236481,M4  ,2.603090003484152e+18
14,95,G_158-27,LM,1.676350426,-7.546475325,2016.0,206.35,-811.565956256,-1893.250846655,M5.5,2.44163050051708e+18
15,107,omi02_Eri_1,* ,63.807953006,-7.668077815,2016.0,199.608,-2240.084983892,-3421.80862017,K0.5,3.195919528989223e+18
16,108,omi02_Eri_2,WD,63.830787524,-7.672952135,2016.0,199.6911,-2236.16874907,-3338.955289251,DA2.9   ,3.195919254111316e+18
17,109,omi02_Eri_3,LM,63.829656021,-7.670903383,2016.0,199.4516,-2247.182942613,-3409.82370879,M4.5,3.195919254111315e+18
18,131,LP_816-60,LM,313.13613276,-16.974558468,2016.0,177.9312,-309.115018747,37.050906245,M4  ,6.882963066420162e+18
19,135,2MASSI_J0415195-093506,BD,63.831432,-9.585187,2000.0,175.2,2214.3,535.9,T8  ,
20,162,G_158-50,LM,3.869880269,-16.136571651,2016.0,166.6,731.83,-607.73,M4  ,2.3682934872610555e+18
22,177,HN_Lib,LM,218.568431757,-12.516923854,2016.0,159.9225,-355.138115038,593.040150754,M3.5,6.324325225803432e+18
23,180,HO_Lib,LM,229.856301333,-7.722707024,2016.0,158.7183,-1221.277628965,-97.229238619,M3  ,6.322070093095494e+18
24,195,HD_152751_1,LM,253.893246271,-8.398523023,2016.0,153.9659,-813.037505755,-870.609351534,M3e ,4.339465085630201e+18
28,199,HD_152751_2,LM,253.851420326,-8.326576264,2016.0,153.8754,-817.580275058,-898.594967724,M3.5,4.33946536051032e+18
29,219,Scholzs_Star,LM,110.01336164,-8.781073273,2016.0,147.1,-46.0,-116.5,M9.5,3.0484433056719693e+18
31,223,BD-17_588,LM,45.462424512,-16.594532806,2016.0,145.6922,-369.971843351,-267.931311929,M3  ,5.153091836072107e+18
34,241,V488_Hya,BD,128.924812102,-8.321818267,2016.0,138.3147,-534.811292969,301.649673017,L6.5,5.753687109122994e+18
35,242,L_788-34,LM,335.780592844,-17.610507571,2016.0,138.228,308.711780804,-718.387215806,M4.5e   ,2.595284016771502e+18
36,250,2MASSW_J1507476-162738,BD,226.947945796,-16.46512505,2016.0,134.9474,-151.794619919,-896.012132795,L5.5,6.306068659857136e+18
37,288,G_154-44,LM,271.883965088,-15.964616826,2016.0,125.4509,-618.406202305,-347.006672715,M4e ,4.1458702938089134e+18
38,290,Wolf_922,LM,322.832981259,-9.790965346,2016.0,125.3,1246.51,-61.066,M4.5,6.894054664842632e+18
40,340,61_Vir,* ,199.596298132,-18.315922101,2016.0,117.1726,-1070.20157352,-1063.848660538,G7  ,3.50787956509023e+18
41,394,Ross_695,LM,186.2238895,-18.252556023,2016.0,112.674,1095.591559687,-2309.018760859,M2  ,3.5197855236725765e+18
42,410,del_Eri,* ,55.811663308,-9.760083664,2016.0,110.0254,-93.63405683,744.360387701,K0  ,5.164120762333028e+18
43,423,GJ_283_1,WD,115.091923377,-17.416066116,2016.0,109.344,1138.689892349,-542.555901969,DZA ,5.717278911884258e+18
44,424,GJ_283_2,LM,115.086082968,-17.41513772,2016.0,109.2545,1152.243039954,-536.411721091,M6.5e   ,5.717278911884264e+18
45,434,L_737-9,LM,77.148374453,-18.178273079,2016.0,108.3254,503.594094672,-1399.631795617,M3.5,2.9765079979390003e+18
47,436,LP_776-46,LM,75.832622235,-17.375510086,2016.0,108.2732,-228.287154866,-444.685087285,M3  ,2.97685059889075e+18
48,446,BD-18_359,LM,31.27627524,-17.615403066,2016.0,107.2972,1275.21813918,-169.701350384,M3  ,5.138510181584617e+18
50,454,EGGR_41,WD,69.448602435,-8.826516219,2016.0,106.339,238.380987336,-1552.407986458,DQ8 ,3.186021141200137e+18
51,465,UCAC4_379-100760,LM,271.434474343,-14.378357626,2016.0,105.5229,-344.870029401,24.87038992,M5.5,4.147112604476418e+18
52,489,G_161-7,LM,138.899843914,-10.597288285,2016.0,103.33,-395.0,-193.0,M5  ,5.74229905096706e+18
54,494,L_768-119,LM,235.517777037,-19.476366652,2016.0,103.1798,-2009.747254182,-1037.933000103,M3  ,6.254033894121582e+18
56,500,G_268-110,LM,16.230222469,-18.122448955,2016.0,102.2827,1292.187866032,488.103907836,M5  ,2.3580222275913743e+18
