Source RA Dec L_Flux C_Flux
3c48 1.628 33.16 16.50 5.48 
3c84 3.33 41.512 23.90 23.30
3c119 4.543 41.641 8.60 3.70
3c138 5.353 16.639 8.47 3.78
3c147 5.71 49.852 22.50 7.94
3c273 12.485 2.052 32.00 30.00
3c279 12.936 -5.789 0 11.20
3c286 13.519 30.509 15.00 7.47
3c287 13.51 25.153 6.80 3.30
3c295 14.189 52.203 22.80 6.50
3c309.1 14.985 71.672 7.60 2.80
3c345 16.716 39.81 8.00 7.80
3c380 18.492 48.746 14.20 3.00
3c395 19.049 31.995 2.90 1.40
3c446 22.43 -4.95 5.70 3.80
3c454.3 22.899 16.148 10.0 10.0
