2021-03-19 03:56:38.717749: Observing: GPS-BIIF-1---PRN-25-
2021-03-19 03:56:38.717797: Az, el, state: 194.95, 38.84, Setting
2021-03-19 03:56:39.807117 [0.0, 4.444444444444445]
2021-03-19 03:57:13.539112 [0.0, 1.1111111111111112]
2021-03-19 03:57:48.362783 [0.0, 0.0]
2021-03-19 03:58:22.316409 [0.0, -1.1111111111111112]
2021-03-19 03:58:56.382290 [0.0, -4.444444444444445]
2021-03-19 03:59:31.009290 [-4.444444444444445, 0.0]
2021-03-19 04:00:08.731847 [-1.1111111111111112, 0.0]
2021-03-19 04:00:42.719810 [0.0, 0.0]
2021-03-19 04:01:16.450614 [1.1111111111111112, 0.0]
2021-03-19 04:01:47.383297 [4.444444444444445, 0.0]
2021-03-19 04:02:21.415283 [0.0, 4.444444444444445]
2021-03-19 04:02:55.550417 [0.0, 1.1111111111111112]
2021-03-19 04:03:32.334497 [0.0, 0.0]
2021-03-19 04:04:06.774322 [0.0, -1.1111111111111112]
2021-03-19 04:04:41.389420 [0.0, -4.444444444444445]
2021-03-19 04:05:18.844967 [-4.444444444444445, 0.0]
2021-03-19 04:05:55.515654 [-1.1111111111111112, 0.0]
2021-03-19 04:06:30.360998 [0.0, 0.0]
2021-03-19 04:07:01.334462 [1.1111111111111112, 0.0]
2021-03-19 04:07:32.537932 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 04:08:03.877426: Observing: GPS-BIIF-9---PRN-26-
2021-03-19 04:08:03.877470: Az, el, state: 193.14, 33.60, Setting
2021-03-19 04:08:05.020146 [0.0, 4.444444444444445]
2021-03-19 04:08:42.883412 [0.0, 1.1111111111111112]
2021-03-19 04:09:16.805413 [0.0, 0.0]
2021-03-19 04:09:51.391767 [0.0, -1.1111111111111112]
2021-03-19 04:10:23.463359 [0.0, -4.444444444444445]
2021-03-19 04:11:00.713004 [-4.444444444444445, 0.0]
2021-03-19 04:11:37.341827 [-1.1111111111111112, 0.0]
2021-03-19 04:12:14.351106 [0.0, 0.0]
2021-03-19 04:12:48.636044 [1.1111111111111112, 0.0]
2021-03-19 04:13:20.963647 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 04:13:56.377149 [0.0, 4.444444444444445]
2021-03-19 04:14:33.299206 [0.0, 1.1111111111111112]
2021-03-19 04:15:07.290044 [0.0, 0.0]
2021-03-19 04:15:41.602995 [0.0, -1.1111111111111112]
2021-03-19 04:16:15.851807 [0.0, -4.444444444444445]
2021-03-19 04:16:52.501350 [-4.444444444444445, 0.0]
2021-03-19 04:17:31.039770 [-1.1111111111111112, 0.0]
2021-03-19 04:18:02.742060 [0.0, 0.0]
2021-03-19 04:18:36.829553 [1.1111111111111112, 0.0]
2021-03-19 04:19:08.163036 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 04:19:42.556680: Observing: GPS-BIII-2---PRN-18-
2021-03-19 04:19:42.556721: Az, el, state: 191.54, 28.37, Setting
2021-03-19 04:19:43.606865 [0.0, 4.444444444444445]
2021-03-19 04:20:17.326333 [0.0, 1.1111111111111112]
2021-03-19 04:20:51.352753 [0.0, 0.0]
2021-03-19 04:21:25.334365 [0.0, -1.1111111111111112]
2021-03-19 04:22:02.373711 [0.0, -4.444444444444445]
2021-03-19 04:22:36.340714 [-4.444444444444445, 0.0]
2021-03-19 04:23:10.361578 [-1.1111111111111112, 0.0]
2021-03-19 04:23:41.581684 [0.0, 0.0]
2021-03-19 04:24:12.622544 [1.1111111111111112, 0.0]
2021-03-19 04:24:43.520092 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 04:25:17.583288 [0.0, 4.444444444444445]
2021-03-19 04:25:54.567127 [0.0, 1.1111111111111112]
2021-03-19 04:26:28.335136 [0.0, 0.0]
2021-03-19 04:27:00.019598 [0.0, -1.1111111111111112]
2021-03-19 04:27:35.157200 [0.0, -4.444444444444445]
2021-03-19 04:28:09.866544 [-4.444444444444445, 0.0]
2021-03-19 04:28:46.559393 [-1.1111111111111112, 0.0]
2021-03-19 04:29:17.461610 [0.0, 0.0]
2021-03-19 04:29:48.420057 [1.1111111111111112, 0.0]
2021-03-19 04:30:19.653871 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 04:30:53.601920: Observing: GPS-BIII-3---PRN-23-
2021-03-19 04:30:53.601963: Az, el, state: 208.11, 32.23, Rising
2021-03-19 04:30:54.908681 [0.0, 4.444444444444445]
2021-03-19 04:31:41.540511 [0.0, 1.1111111111111112]
2021-03-19 04:32:15.505605 [0.0, 0.0]
2021-03-19 04:32:46.541385 [0.0, -1.1111111111111112]
2021-03-19 04:33:20.978425 [0.0, -4.444444444444445]
2021-03-19 04:33:55.489601 [-4.444444444444445, 0.0]
2021-03-19 04:34:30.405589 [-1.1111111111111112, 0.0]
2021-03-19 04:35:07.811454 [0.0, 0.0]
2021-03-19 04:35:41.359895 [1.1111111111111112, 0.0]
2021-03-19 04:36:12.356051 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 04:36:46.513973 [0.0, 4.444444444444445]
2021-03-19 04:37:20.523301 [0.0, 1.1111111111111112]
2021-03-19 04:37:54.329007 [0.0, 0.0]
2021-03-19 04:38:25.320592 [0.0, -1.1111111111111112]
2021-03-19 04:38:59.392701 [0.0, -4.444444444444445]
2021-03-19 04:39:34.540646 [-4.444444444444445, 0.0]
2021-03-19 04:40:09.381427 [-1.1111111111111112, 0.0]
2021-03-19 04:40:44.381960 [0.0, 0.0]
2021-03-19 04:41:16.370416 [1.1111111111111112, 0.0]
2021-03-19 04:41:49.585291 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 04:42:24.036395: Observing: GPS-BIIRM-5--PRN-29-
2021-03-19 04:42:24.036437: Az, el, state: 107.91, 72.52, Setting
2021-03-19 04:42:26.191295 [0.0, 4.444444444444445]
2021-03-19 04:43:39.566485 [0.0, 1.1111111111111112]
2021-03-19 04:44:13.337065 [0.0, 0.0]
2021-03-19 04:44:47.386568 [0.0, -1.1111111111111112]
2021-03-19 04:45:22.439045 [0.0, -4.444444444444445]
2021-03-19 04:45:58.913420 [-4.444444444444445, 0.0]
2021-03-19 04:46:36.892567 [-1.1111111111111112, 0.0]
2021-03-19 04:47:11.743902 [0.0, 0.0]
2021-03-19 04:47:42.850553 [1.1111111111111112, 0.0]
2021-03-19 04:48:13.711752 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 04:48:47.659266 [0.0, 4.444444444444445]
2021-03-19 04:49:24.480091 [0.0, 1.1111111111111112]
2021-03-19 04:49:58.498487 [0.0, 0.0]
2021-03-19 04:50:32.312926 [0.0, -1.1111111111111112]
2021-03-19 04:51:06.347025 [0.0, -4.444444444444445]
2021-03-19 04:51:40.588004 [-4.444444444444445, 0.0]
2021-03-19 04:52:17.542095 [-1.1111111111111112, 0.0]
2021-03-19 04:52:51.591135 [0.0, 0.0]
2021-03-19 04:53:25.463698 [1.1111111111111112, 0.0]
2021-03-19 04:53:56.583239 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 04:54:27.840579: Observing: GPS-BIIR-4---PRN-20-
2021-03-19 04:54:27.840620: Az, el, state: 119.20, 67.64, Setting
2021-03-19 04:54:29.376836 [0.0, 4.444444444444445]
2021-03-19 04:55:06.382128 [0.0, 1.1111111111111112]
2021-03-19 04:55:41.039101 [0.0, 0.0]
2021-03-19 04:56:18.749693 [0.0, -1.1111111111111112]
2021-03-19 04:56:50.580166 [0.0, -4.444444444444445]
2021-03-19 04:57:28.164263 [-4.444444444444445, 0.0]
2021-03-19 04:58:03.602764 [-1.1111111111111112, 0.0]
2021-03-19 04:58:37.531611 [0.0, 0.0]
2021-03-19 04:59:08.538871 [1.1111111111111112, 0.0]
2021-03-19 04:59:39.802074 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 05:00:15.064278 [0.0, 4.444444444444445]
2021-03-19 05:00:55.708972 [0.0, 1.1111111111111112]
2021-03-19 05:01:30.389405 [0.0, 0.0]
2021-03-19 05:02:01.640414 [0.0, -1.1111111111111112]
2021-03-19 05:02:36.482250 [0.0, -4.444444444444445]
2021-03-19 05:03:10.651954 [-4.444444444444445, 0.0]
2021-03-19 05:03:45.622436 [-1.1111111111111112, 0.0]
2021-03-19 05:04:19.477610 [0.0, 0.0]
2021-03-19 05:04:50.836480 [1.1111111111111112, 0.0]
2021-03-19 05:05:24.695269 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 05:06:09.970059: Observing: GPS-BIIRM-4--PRN-15-
2021-03-19 05:06:09.970101: Az, el, state: 126.91, 62.54, Setting
2021-03-19 05:06:11.304793 [0.0, 4.444444444444445]
2021-03-19 05:06:55.409472 [0.0, 1.1111111111111112]
2021-03-19 05:07:35.421426 [0.0, 0.0]
2021-03-19 05:08:16.725582 [0.0, -1.1111111111111112]
2021-03-19 05:08:58.068909 [0.0, -4.444444444444445]
2021-03-19 05:09:38.002030 [-4.444444444444445, 0.0]
2021-03-19 05:10:20.470166 [-1.1111111111111112, 0.0]
2021-03-19 05:11:04.997263 [0.0, 0.0]
2021-03-19 05:11:36.781332 [1.1111111111111112, 0.0]
2021-03-19 05:12:09.354553 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 05:12:44.084323 [0.0, 4.444444444444445]
2021-03-19 05:13:18.558730 [0.0, 1.1111111111111112]
2021-03-19 05:13:53.007322 [0.0, 0.0]
2021-03-19 05:14:24.410234 [0.0, -1.1111111111111112]
2021-03-19 05:14:55.670314 [0.0, -4.444444444444445]
2021-03-19 05:15:30.357117 [-4.444444444444445, 0.0]
2021-03-19 05:16:04.515232 [-1.1111111111111112, 0.0]
2021-03-19 05:16:38.688838 [0.0, 0.0]
2021-03-19 05:17:09.631663 [1.1111111111111112, 0.0]
2021-03-19 05:17:40.580884 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 05:18:15.669942: Observing: GPS-BIIF-9---PRN-26-
2021-03-19 05:18:15.670013: Az, el, state: 273.30, 32.29, Setting
2021-03-19 05:18:17.077503 [0.0, 4.444444444444445]
2021-03-19 05:19:33.493820 [0.0, 1.1111111111111112]
2021-03-19 05:20:07.545441 [0.0, 0.0]
2021-03-19 05:20:39.565701 [0.0, -1.1111111111111112]
2021-03-19 05:21:13.788858 [0.0, -4.444444444444445]
2021-03-19 05:21:47.407140 [-4.444444444444445, 0.0]
2021-03-19 05:22:21.635161 [-1.1111111111111112, 0.0]
2021-03-19 05:22:55.646743 [0.0, 0.0]
2021-03-19 05:23:27.591263 [1.1111111111111112, 0.0]
2021-03-19 05:24:02.808224 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 05:24:36.638756 [0.0, 4.444444444444445]
2021-03-19 05:25:10.461787 [0.0, 1.1111111111111112]
2021-03-19 05:25:44.563781 [0.0, 0.0]
2021-03-19 05:26:18.383319 [0.0, -1.1111111111111112]
2021-03-19 05:26:53.334798 [0.0, -4.444444444444445]
2021-03-19 05:27:27.442116 [-4.444444444444445, 0.0]
2021-03-19 05:28:04.324694 [-1.1111111111111112, 0.0]
2021-03-19 05:28:38.339036 [0.0, 0.0]
2021-03-19 05:29:10.789491 [1.1111111111111112, 0.0]
2021-03-19 05:29:42.758413 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 05:30:17.863149: Observing: GPS-BIIF-11--PRN-10-
2021-03-19 05:30:17.863224: Az, el, state: 137.66, 51.55, Setting
2021-03-19 05:30:19.066707 [0.0, 4.444444444444445]
2021-03-19 05:31:37.280360 [0.0, 1.1111111111111112]
2021-03-19 05:32:11.732853 [0.0, 0.0]
2021-03-19 05:32:45.561438 [0.0, -1.1111111111111112]
2021-03-19 05:33:17.317872 [0.0, -4.444444444444445]
2021-03-19 05:33:51.549543 [-4.444444444444445, 0.0]
2021-03-19 05:34:26.660709 [-1.1111111111111112, 0.0]
2021-03-19 05:35:01.671052 [0.0, 0.0]
2021-03-19 05:35:33.627015 [1.1111111111111112, 0.0]
2021-03-19 05:36:06.102459 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 05:36:40.704751 [0.0, 4.444444444444445]
2021-03-19 05:37:17.383925 [0.0, 1.1111111111111112]
2021-03-19 05:37:54.590251 [0.0, 0.0]
2021-03-19 05:38:25.628149 [0.0, -1.1111111111111112]
2021-03-19 05:38:56.513535 [0.0, -4.444444444444445]
2021-03-19 05:39:31.373043 [-4.444444444444445, 0.0]
2021-03-19 05:40:05.310582 [-1.1111111111111112, 0.0]
2021-03-19 05:40:39.369052 [0.0, 0.0]
2021-03-19 05:41:16.309697 [1.1111111111111112, 0.0]
2021-03-19 05:41:47.407031 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 05:42:21.675240: Observing: GPS-BIII-2---PRN-18-
2021-03-19 05:42:21.675282: Az, el, state: 141.54, 45.96, Setting
2021-03-19 05:42:22.822667 [0.0, 4.444444444444445]
2021-03-19 05:43:00.333199 [0.0, 1.1111111111111112]
2021-03-19 05:43:34.327209 [0.0, 0.0]
2021-03-19 05:44:06.619862 [0.0, -1.1111111111111112]
2021-03-19 05:44:37.785254 [0.0, -4.444444444444445]
2021-03-19 05:45:12.544447 [-4.444444444444445, 0.0]
2021-03-19 05:45:49.416798 [-1.1111111111111112, 0.0]
2021-03-19 05:46:20.664618 [0.0, 0.0]
2021-03-19 05:46:54.384672 [1.1111111111111112, 0.0]
2021-03-19 05:47:30.018141 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 05:48:04.618534 [0.0, 4.444444444444445]
2021-03-19 05:48:41.299534 [0.0, 1.1111111111111112]
2021-03-19 05:49:16.011160 [0.0, 0.0]
2021-03-19 05:49:50.784637 [0.0, -1.1111111111111112]
