2021-03-19 00:38:44.988839: Observing: GPS-BIIF-3---PRN-24-
2021-03-19 00:38:44.988876: Az, el, state: 210.75, 31.54, Setting
2021-03-19 00:38:46.413501 [0.0, 4.444444444444445]
2021-03-19 00:39:23.921770 [0.0, 1.1111111111111112]
2021-03-19 00:39:58.753281 [0.0, 0.0]
2021-03-19 00:40:32.642444 [0.0, -1.1111111111111112]
2021-03-19 00:41:06.438608 [0.0, -4.444444444444445]
2021-03-19 00:41:40.474442 [-4.444444444444445, 0.0]
2021-03-19 00:42:17.732301 [-1.1111111111111112, 0.0]
2021-03-19 00:42:52.773550 [0.0, 0.0]
2021-03-19 00:43:23.870337 [1.1111111111111112, 0.0]
2021-03-19 00:43:55.454320 [4.444444444444445, 0.0]
2021-03-19 00:44:27.592006 [0.0, 4.444444444444445]
2021-03-19 00:45:04.540687 [0.0, 1.1111111111111112]
2021-03-19 00:45:38.823858 [0.0, 0.0]
2021-03-19 00:46:13.496466 [0.0, -1.1111111111111112]
2021-03-19 00:46:50.824765 [0.0, -4.444444444444445]
2021-03-19 00:47:25.687233 [-4.444444444444445, 0.0]
2021-03-19 00:48:03.517315 [-1.1111111111111112, 0.0]
2021-03-19 00:48:34.622306 [0.0, 0.0]
2021-03-19 00:49:08.579903 [1.1111111111111112, 0.0]
2021-03-19 00:49:39.683034 [4.444444444444445, 0.0]
2021-03-19 00:50:13.940487: Observing: GPS-BIIF-6---PRN-06-
2021-03-19 00:50:13.940534: Az, el, state: 48.51, 42.42, Setting
2021-03-19 00:50:15.024796 [0.0, 4.444444444444445]
2021-03-19 00:51:43.364662 [0.0, 1.1111111111111112]
2021-03-19 00:52:23.501107 [0.0, 0.0]
2021-03-19 00:53:00.637867 [0.0, -1.1111111111111112]
2021-03-19 00:53:33.557664 [0.0, -4.444444444444445]
2021-03-19 00:54:07.594760 [-4.444444444444445, 0.0]
2021-03-19 00:54:44.868572 [-1.1111111111111112, 0.0]
2021-03-19 00:55:19.416502 [0.0, 0.0]
2021-03-19 00:55:50.406889 [1.1111111111111112, 0.0]
2021-03-19 00:56:21.677477 [4.444444444444445, 0.0]
2021-03-19 00:56:56.639642 [0.0, 4.444444444444445]
2021-03-19 00:57:33.318207 [0.0, 1.1111111111111112]
2021-03-19 00:58:07.634051 [0.0, 0.0]
2021-03-19 00:58:42.564408 [0.0, -1.1111111111111112]
2021-03-19 00:59:18.180886 [0.0, -4.444444444444445]
2021-03-19 00:59:52.950927 [-4.444444444444445, 0.0]
2021-03-19 01:00:29.492631 [-1.1111111111111112, 0.0]
2021-03-19 01:01:04.546246 [0.0, 0.0]
2021-03-19 01:01:35.395007 [1.1111111111111112, 0.0]
2021-03-19 01:02:06.435442 [4.444444444444445, 0.0]
2021-03-19 01:02:41.060470: Observing: GPS-BIIF-1---PRN-25-
2021-03-19 01:02:41.060516: Az, el, state: 46.91, 37.24, Setting
2021-03-19 01:02:42.321927 [0.0, 4.444444444444445]
2021-03-19 01:03:19.568124 [0.0, 1.1111111111111112]
2021-03-19 01:03:54.443585 [0.0, 0.0]
2021-03-19 01:04:28.617145 [0.0, -1.1111111111111112]
2021-03-19 01:04:59.525267 [0.0, -4.444444444444445]
2021-03-19 01:05:33.849144 [-4.444444444444445, 0.0]
2021-03-19 01:06:07.381428 [-1.1111111111111112, 0.0]
2021-03-19 01:06:41.593161 [0.0, 0.0]
2021-03-19 01:07:15.404253 [1.1111111111111112, 0.0]
2021-03-19 01:07:46.528066 [4.444444444444445, 0.0]
2021-03-19 01:08:20.714521 [0.0, 4.444444444444445]
2021-03-19 01:08:58.692633 [0.0, 1.1111111111111112]
2021-03-19 01:09:35.536917 [0.0, 0.0]
2021-03-19 01:10:06.465544 [0.0, -1.1111111111111112]
2021-03-19 01:10:37.664073 [0.0, -4.444444444444445]
2021-03-19 01:11:15.557700 [-4.444444444444445, 0.0]
2021-03-19 01:11:53.151711 [-1.1111111111111112, 0.0]
2021-03-19 01:12:24.596510 [0.0, 0.0]
2021-03-19 01:12:56.957730 [1.1111111111111112, 0.0]
2021-03-19 01:13:22.648963 [4.444444444444445, 0.0]
2021-03-19 01:13:54.615236: Observing: GPS-BIIR-13--PRN-02-
2021-03-19 01:13:54.615305: Az, el, state: 56.02, 71.97, Setting
2021-03-19 01:13:55.897636 [0.0, 4.444444444444445]
2021-03-19 01:15:14.604867 [0.0, 1.1111111111111112]
2021-03-19 01:15:48.468851 [0.0, 0.0]
2021-03-19 01:16:19.528888 [0.0, -1.1111111111111112]
2021-03-19 01:16:54.536551 [0.0, -4.444444444444445]
2021-03-19 01:17:28.673985 [-4.444444444444445, 0.0]
2021-03-19 01:18:07.169568 [-1.1111111111111112, 0.0]
2021-03-19 01:18:41.444114 [0.0, 0.0]
2021-03-19 01:19:15.564845 [1.1111111111111112, 0.0]
2021-03-19 01:19:52.511175 [4.444444444444445, 0.0]
2021-03-19 01:20:26.960248 [0.0, 4.444444444444445]
2021-03-19 01:21:04.489809 [0.0, 1.1111111111111112]
2021-03-19 01:21:38.432473 [0.0, 0.0]
2021-03-19 01:22:09.601194 [0.0, -1.1111111111111112]
2021-03-19 01:22:43.593050 [0.0, -4.444444444444445]
2021-03-19 01:23:20.413559 [-4.444444444444445, 0.0]
2021-03-19 01:23:54.406393 [-1.1111111111111112, 0.0]
2021-03-19 01:24:29.395451 [0.0, 0.0]
2021-03-19 01:24:54.289980 [1.1111111111111112, 0.0]
2021-03-19 01:25:25.337336 [4.444444444444445, 0.0]
2021-03-19 01:25:57.605148: Observing: GPS-BIIRM-5--PRN-29-
2021-03-19 01:25:57.605195: Az, el, state: 50.68, 66.89, Setting
2021-03-19 01:25:58.767126 [0.0, 4.444444444444445]
2021-03-19 01:26:33.593931 [0.0, 1.1111111111111112]
2021-03-19 01:27:07.326397 [0.0, 0.0]
2021-03-19 01:27:38.744696 [0.0, -1.1111111111111112]
2021-03-19 01:28:09.583259 [0.0, -4.444444444444445]
2021-03-19 01:28:43.470233 [-4.444444444444445, 0.0]
2021-03-19 01:29:20.481877 [-1.1111111111111112, 0.0]
2021-03-19 01:29:54.674486 [0.0, 0.0]
2021-03-19 01:30:26.747043 [1.1111111111111112, 0.0]
2021-03-19 01:30:58.505583 [4.444444444444445, 0.0]
