Source RA Dec
3c48 1.628 33.16
3c84 3.33 41.512
3c111 4.306 38.027
3c119 4.543 41.641
3c123 4.618 29.671
3c138 5.353 16.639
taua 5.575 22.016
3c147 5.71 49.852
hyda 9.302 -11.905
3c273 12.485 2.052
3c274 12.514 12.391
3c279 12.936 -5.789
3c287 13.51 25.153
3c286 13.519 30.509
3c295 14.189 52.203
3c309.1 14.985 71.672
3c345 16.716 39.81
hera 16.852 4.993
3c353 17.341 -0.98
saga 17.761 -27.064
3c380 18.492 48.746
3c395 19.049 31.995
W51 19.396 14.509
cyga 19.991 40.734
3c446 22.43 -4.95
3c454.3 22.899 16.148
CasA 23.391 58.808

